0.3550+01 0.8187+02 0.2325+02 0.3520+01 0.7113+01
0.3600+01 0.8784+02 0.2445+02 0.3592+01 0.7450+01
0.3650+01 0.9420+02 0.2571+02 0.3664+01 0.7802+01
0.3700+01 0.1010+03 0.2701+02 0.3738+01 0.8169+01
0.3750+01 0.1082+03 0.2838+02 0.3812+01 0.8552+01
0.3800+01 0.1159+03 0.2981+02 0.3888+01 0.8951+01
0.3850+01 0.1241+03 0.3129+02 0.3964+01 0.9366+01
0.3900+01 0.1328+03 0.3285+02 0.4042+01 0.9799+01
0.3950+01 0.1420+03 0.3446+02 0.4120+01 0.1025+02
0.4000+01 0.1518+03 0.3615+02 0.4200+01 0.1072+02
0.4050+01 0.1623+03 0.3791+02 0.4280+01 0.1121+02
0.4100+01 0.1733+03 0.3974+02 0.4362+01 0.1171+02
0.4150+01 0.1851+03 0.4164+02 0.4444+01 0.1224+02
0.4200+01 0.1975+03 0.4363+02 0.4528+01 0.1279+02
0.4250+01 0.2108+03 0.4569+02 0.4612+01 0.1336+02
0.4300+01 0.2247+03 0.4784+02 0.4698+01 0.1395+02
0.4350+01 0.2396+03 0.5007+02 0.4784+01 0.1457+02
0.4400+01 0.2553+03 0.5239+02 0.4872+01 0.1521+02
0.4450+01 0.2719+03 0.5480+02 0.4960+01 0.1587+02
0.4500+01 0.2894+03 0.5731+02 0.5050+01 0.1656+02
0.4550+01 0.3080+03 0.5991+02 0.5140+01 0.1728+02
0.4600+01 0.3276+03 0.6261+02 0.5232+01 0.1802+02
0.4650+01 0.3483+03 0.6542+02 0.5324+01 0.1879+02
0.4700+01 0.3702+03 0.6833+02 0.5418+01 0.1958+02
0.4750+01 0.3933+03 0.7135+02 0.5512+01 0.2041+02
0.4800+01 0.4177+03 0.7448+02 0.5608+01 0.2126+02
0.4850+01 0.4434+03 0.7772+02 0.5704+01 0.2215+02
0.4900+01 0.4705+03 0.8109+02 0.5802+01 0.2307+02
0.4950+01 0.4990+03 0.8457+02 0.5900+01 0.2402+02
0.5000+01 0.5291+03 0.8818+02 0.6000+01 0.2500+02
0.5100+01 0.5941+03 0.9579+02 0.6202+01 0.2707+02
0.5200+01 0.6661+03 0.1039+03 0.6408+01 0.2928+02
0.5300+01 0.7457+03 0.1127+03 0.6618+01 0.3165+02
0.5400+01 0.8335+03 0.1220+03 0.6832+01 0.3417+02
0.5500+01 0.9304+03 0.1320+03 0.7050+01 0.3687+02
0.5600+01 0.1037+04 0.1426+03 0.7272+01 0.3974+02
0.5700+01 0.1154+04 0.1539+03 0.7498+01 0.4280+02
0.5800+01 0.1283+04 0.1660+03 0.7728+01 0.4605+02
0.5900+01 0.1424+04 0.1789+03 0.7962+01 0.4951+02
0.6000+01 0.1579+04 0.1925+03 0.8200+01 0.5318+02
0.6100+01 0.1748+04 0.2071+03 0.8442+01 0.5708+02
0.6200+01 0.1933+04 0.2225+03 0.8688+01 0.6121+02
0.6300+01 0.2135+04 0.2388+03 0.8938+01 0.6559+02
0.6400+01 0.2355+04 0.2562+03 0.9192+01 0.7023+02
0.6500+01 0.2594+04 0.2745+03 0.9450+01 0.7513+02
0.6600+01 0.2855+04 0.2939+03 0.9712+01 0.8032+02
0.6700+01 0.3138+04 0.3145+03 0.9978+01 0.8580+02
0.6800+01 0.3445+04 0.3362+03 0.1025+02 0.9159+02
0.6900+01 0.3779+04 0.3591+03 0.1052+02 0.9770+02
0.7000+01 0.4140+04 0.3833+03 0.1080+02 0.1041+03
