0.2000-01 0.2399+01 0.2301-02 0.1042+04 0.1268+01 0.1918-02
0.4000-01 0.2395+01 0.9175-02 0.2610+03 0.1266+01 0.7648-02
0.6000-01 0.2388+01 0.2053-01 0.1163+03 0.1265+01 0.1712-01
0.8000-01 0.2379+01 0.3621-01 0.6569+02 0.1262+01 0.3022-01
0.1000+00 0.2367+01 0.5602-01 0.4225+02 0.1259+01 0.4678-01
0.1200+00 0.2353+01 0.7970-01 0.2952+02 0.1255+01 0.6661-01
0.1400+00 0.2336+01 0.1069+00 0.2184+02 0.1251+01 0.8947-01
0.1600+00 0.2317+01 0.1374+00 0.1686+02 0.1246+01 0.1151+00
0.1800+00 0.2296+01 0.1708 +00 0.1344+02 0.1241+01 0.1432+00
0.2000+00 0.2273+01 0.2066+00 0.1100+02 0.1235 +01 0.1736+00
0.2200+00 0.2248+01 0.2445+00 0.9192+01 0.1228+01 0.2057+00
0.2400+00 0.2221+01 0.2841+00 0.7817+01 0.1221+01 0.2395+00
0.2600+00 0.2193+01 0.3250+00 0.6747+01 0.1214+01 0.2745+00
0.2800+00 0.2163+01 0.3667+00 0.5898+01 0.1206+01 0.3104+00
0.3000+00 0.2131+01 0.4089+00 0.5213+01 0.1199+01 0.3469+00
0.3200+00 0.2099+01 0.4512+00 0.4652+01 0.1190+01 0.3837+00
0.3400+00 0.2066+01 0.4933+00 0.4188+01 0.1182+01 0.4206+00
0.3600+00 0.2031+01 0.5348+00 0.3798+01 0.1174+01 0.4572+00
0.3800+00 0.1996+01 0.5755+00 0.3469+01 0.1165+01 0.4935+00
0.4000+00 0.1961+01 0.6151+00 0.3188+01 0.1157+01 0.5290+00
0.4200+00 0.1925+01 0.6535+00 0.2945+01 0.1148+01 0.5638+00
0.4400+00 0.1888+01 0.6903+00 0.2736+01 0.1139+01 0.5975+00
0.4600+00 0.1852+01 0.7254+00 0.2552+01 0.1131+01 0.6301+00
0.4800+00 0.1815+01 0.7587+00 0.2392+01 0.1122+01 0.6614+00
0.5000+00 0.1778+01 0.7901+00 0.2250+01 0.1114+01 0.6914+00
0.5200+00 0.1741+01 0.8196+00 0.2124+01 0.1106+01 0.7199+00
0.5400+00 0.1704+01 0.8469+00 0,2012+01 0.1098+01 0.7470+00
0.5600+00 0.1668+01 0.8723+00 0.1912+01 0.1090+01 0.7725+00
0.5800+00 0.1632+01 0.8955+00 0.1822+01 0.1083+01 0.7965+00
0.6000+00 0.1596+01 0.9167+00 0.1741+01 0.1075+01 0.8189+00
0.6200+00 0.1560+01 0.9358+00 0.1667+01 0.1068+01 0.8398+00
0.6400+00 0.1525+01 0.9530+00 0.1601+01 0.1061+01 0.8592+00
0.6600+00 0.1491+01 0.9682+00 0.1540+01 0.1055+01 0.8771+00
0.6800+00 0.1457+01 0.9814+00 0.1484+01 0.1049+01 0.8935+00
0.7000+00 0.1423+01 0.9929+00 0.1434+01 0.1043+01 0.9085+00
0.7200+00 0.1391+01 0.1003+01 0.1387+01 0.1038+01 0.9221+00
0.7400+00 0.1359+01 0.1011+01 0.1344+01 0.1033+01 0.9344+00
0.7600+00 0.1327+01 0.1017+01 0.1305+01 0.1028+01 0.9455+00
0.7800+00 0.1296+01 0.1022+01 0.1268+01 0.1023+01 0.9553+00
0.8000+00 0.1266+01 0.1025+01 0.1234+01 0.1019+01 0.9639+00
0.8200+00 0.1236+01 0.1028+01 0.1203+01 0.1016+01 0.9715+00
0.8400+00 0.1207+01 0.1029+01 0.1174+01 0.1012+01 0.9781+00
0.8600+00 0.1179+01 0.1028+01 0.1147+01 0.1010+01 0.9836+00
0.8800+00 0.1152+01 0.1027+01 0.1121+01 0.1007+01 0.9883+00
0.9000+00 0.1125+01 0.1025+01 0.1098+01 0.1005+01 0.9921+00
0.9200+00 0.1098+01 0.1021+01 0.1076+01 0.1003+01 0.9951+00
0.9400+00 0.1073+01 0.1017+01 0.1055+01 0.1002+01 0.9973+00
0.9600+00 0.1048+01 0.1012+01 0.1035+01 0.1001+01 0.9988+00
0.9800+00 0.1024+01 0.1006+01 0.1017+01 0.1000+01 0.9997+00
0.1000+01 0.1000+01 0.1000+01 0.1000+01 0.1000+01 0.1000+01
