0.2050+01 0.3487+00 0.5109+00 0.6825+00 0.1558+01 0.7835+00
0.2100+01 0.3345+00 0.4936+00 0.6778+00 0.1616+01 0.7741+00
0.2150+01 0.3212+00 0.4770+00 0.6735+00 0.1678+01 0.7649+00
0.2200+01 0.3086+00 0.4611+00 0.6694+00 0.1743+01 0.7561+00
0.2250+01 0.2968+00 0.4458+00 0.6656+00 0.1813+01 0.7477+00
0.2300+01 0.2855+00 0.4312+00 0.6621+00 0.1886+01 0.7395+00
0.2350+01 0.2749+00 0.4172+00 0.6588+00 0.1963+01 0.7317+00
0.2400+01 0.2648+00 0.4038+00 0.6557+00 0.2045+01 0.7242+00
0.2450+01 0.2552+00 0.3910+00 0.6527+00 0.2131+01 0.7170+00
0.2500+01 0.2462+00 0.3787+00 0.6500+00 0.2222+01 0.7101+00 
0.2550+01 0.2375+00 0.3669+00 0.6474+00 0.2317+01 0.7034+00
0.2600+01 0.2294+00 0.3556+00 0.6450+00 0.2418+01 0.6970+00
0.2650+01 0.2216+00 0.3448+00 0.6427+00 0.2523+01 0.6908+00
0.2700+01 0.2142+00 0.3344+00 0.6405+00 0.2634+01 0.6849+00
0.2750+01 0.2071+00 0.3244+00 0.6384+00 0.2751+01 0.6793+00
0.2800+01 0.2004+00 0.3149+00 0.6365+00 0.2873+01 0.6738+00
0.2850+01 0.1940+00 0.3057+00 0.6346+00 0.3001+01 0.6685+00
0.2900+01 0.1879+00 0.2969+00 0.6329+00 0.3136+01 0.6635+00
0.2950+01 0.1820+00 0.2884+00 0.6312+00 0.3277+01 0.6586+00
0.3000+01 0.1765+00 0.2803+00 0.6296+00 0.3424+01 0.6540+00
0.3050+01 0.1711+00 0.2725+00 0.6281+00 0.3579+01 0.6495+00
0.3100+01 0.1660+00 0.2650+00 0.6267+00 0.3741+01 0.6452+00
0.3150+01 0.1612+00 0.2577+00 0.6253+00 0.3910+01 0.6410+00
0.3200+01 0.1565+00 0.2508+00 0.6240+00 0.4087+01 0.6370+00
0.3250+01 0.1520+00 0.2441+00 0.6228+00 0.4272+01 0.6331+00
0.3300+01 0.1477+00 0.2377+00 0.6216+00 0.4465+01 0.6294+00
0.3350+01 0.1436+00 0.2315+00 0.6205+00 0.4667+01 0.6258+00
0.3400+01 0.1397+00 0.2255+00 0.6194+00 0.4878+01 0.6224+00
0.3450+01 0.1359+00 0.2197+00 0.6183+00 0.5098+01 0.6190+00
0.3500+01 0.1322+00 0.2142+00 0.6173+00 0.5328+01 0.6158+00
0.3550+01 0.1287+00 0.2088+00 0.6164+00 0.5568+01 0.6127+00
0.3600+01 0.1254+00 0.2037+00 0.6155+00 0.5817+01 0.6097+00
0.3650+01 0.1221+00 0.1987+00 0.6146+00 0.6078+01 0.6068+00
0.3700+01 0.1190+00 0.1939+00 0.6138+00 0.6349+01 0.6040+00
0.3750+01 0.1160+00 0.1893+00 0.6130+00 0.6631+01 0.6013+00
0.3800+01 0.1131+00 0.1848+00 0.6122+00 0.6926+01 0.5987+00
0.3850+01 0.1103+00 0.1805+00 0.6114+00 0.7232+01 0.5962+00
0.3900+01 0.1077+00 0.1763+00 0.6107+00 0.7550+01 0.5937+00
0.3950+01 0.1051+00 0.1722+00 0.6100+00 0.7882+01 0.5914+00
0.4000+01 0.1026+00 0.1683+00 0.6094+00 0.8227+01 0.5891+00
0.4050+01 0.1002+00 0.1645+00 0.6087+00 0.8585+01 0.5869+00
0.4100+01 0.9782-01 0.1609+00 0.6081+00 0.8958+01 0.5847+00
0.4150+01 0.9557-01 0.1573+00 0.6075+00 0.9345+01 0.5827+00
0.4200+01 0.9340-01 0.1539+00 0.6070+00 0.9747+01 0.5807+00
0.4250+01 0.9130-01 0.1506+00 0.6064+00 0.1016+02 0.5787+00
0.4300+01 0.8927-01 0.1473+00 0.6059+00 0.1060+02 0.5768+00
0.4350+01 0.8730-01 0.1442+00 0.6054+00 0.1105+02 0.5750+00
0.4400+01 0.8540-01 0.1412+00 0.6049+00 0.1152+02 0.5732+00
0.4450+01 0.8356-01 0.1383+00 0.6044+00 0.1200+02 0.5715+00
0.4500+01 0.8177-01 0.1354+00 0.6039+00 0.1250+02 0.5698+00
