0.4550+01 0.8004-01 0.1326+00 0.6035+00 013024-02 0.5682+00
0.4600+01 0.7837-01 0.1300+00 0.6030+00 0.1356+02 0.5666+00
0.4650+01 0.7675-01 0.1274+00 0.6026+00 0.1412+02 0.5651+00
0.4700+01 0.7517-01 0.1248+00 0.6022+00 0.1470+02 0.5636+00
0.4750+01 0.7365-01 0.1224+00 0.6018+00 0.1530+02 0.5622+00
0.4800+01 0.7217-01 0.1200+00 0.6014+00 0.1592+02 0.5608+00
0.4850+01 0.7073-01 0.1177+00 0.6010+00 0.1657+02 0.5594+00
0.4900+01 0.6934-01 0.1154+00 0.6007+00 0.1723+02 0.5581+00
0.4950+01 0.6798-01 0.1132+00 0.6003+00 0.1792+02 0.5568+00 
0.5000+01 0.6667-01 0.1111+00 0.6000+00 0.1863+02 0.5556+00
0.5100+01 0.6415-01 0.1070+00 0.5994+00 0.2013+02 0.5532+00
0.5200+01 0.6177-01 0.1032+00 0.5987+00 0.2173+02 0.5509+00
0.5300+01 0.5951-01 0.9950-01 0.5982+00 0.2344+02 0.5487+00
0.5400+01 0.5738-01 0.9602-01 0.5976+00 0.2527+02 0.5467+00
0.5500+01 0.5536-01 0.9272-01 0.5971+00 0.2721+02 0.5447+00
0.5600+01 0.5345-01 0.8958-01 0.5966+00 0.2928+02 054294-00
0.5700+01 0.5163-01 0.8660-01 0.5962+00 0.3148+02 0.5411+00
0.5800+01 0.4990-01 0.8376-01 0.5957+00 0.3382+02 053944-00
0.5900+01 0.4826-01 0.8106-01 0.5953+00 0.3631+02 0.5378+00
0.6000+01 0.4669-01 0.7849-01 0.5949+00 0.3895+02 0.5363+00
0.6100+01 0.4520-01 0.7603-01 0.5945+00 0.4174+02 0.5349+00
0.6200+01 0.4378-01 0.7369-01 0.5942+00 0.4471+02 0.5335+00
0.6300+01 0.4243-01 0.7145-01 0.5938+00 0.4785+02 0.5322+00
0.6400+01 0.4114-01 0.6931-01 0.5935+00 0.5117+02 0.5309+00
0.6500+01 0.3990-01 0.6726-01 0.5932+00 0.5468+02 0.5297+00
0.6600+01 0.3872-01 0.6531-01 0.5929+00 0.5840+02 0.5285+00
0.6700+01 0.3759-01 0.6343-01 0.5926+00 0.6232+02 0.5274+00
0.6800+01 0.3651-01 0.6164-01 0.5923+00 0.6645+02 0.5264+00
0.6900+01 0.3547-01 0.5991-01 0.5921+00 0.7082+02 0.5254+00
0.7000+01 0.3448-01 0.5826-01 0.5918+00 0.7541+02 0.5244+00
0.7100+01 0.3353-01 0.5668-01 0.5916+00 0.8026+02 0.5234+00
0.7200+01 0.3262-01 0.5516-01 0.5914+00 0.8536+02 0.5225+00
073004-01 0.3174-01 0.5370-01 0.5912+00 0.9072+02 0.5217+00
0.7400+01 0.3090-01 0.5229-01 0.5909+00 0.9636+02 0.5208+00
0.7500+01 0.3009-01 0.5094-01 0.5907+00 0.1023+03 0.5200+00
0.7600+01 0.2932-01 0.4964-01 0.5905+00 0.1085+03 0.5193+00
0.7700+01 0.2857-01 0.4839-01 0.5904+00 0.1150+03 0.5185+00
0.7800+01 0.2785-01 0.4719-01 0.5902+00 0.1219+03 0.5178+00
0.7900+01 0.2716-01 0.4603-01 0.5900+00 0.1291+03 0.5171+00
0.8000+01 0.2649-01 0.4491-01 0.5898+00 0.1366+03 0.5165+00
0.9000+01 0.2098-01 0.3565-01 0.5885+00 0.2339+03 0.5110+00
0.1000+02 0.1702-01 0.2897-01 0.5875+00 0.3816+03 0.5070+00
0.1100+02 0.1408-01 0.2400-01 0.5868+00 0.5977+03 0.5041+00
0.1200+02 0.1185-01 0.2021-01 0.5862+00 0.9041+03 0.5018+00
0.1300+02 0.1010-01 0.1724-01 0.5858+00 0.1327+04 0.5001+00
0.1400+02 0.8715-02 0.1489-01 0.5855+00 0.1896+04 0.4986+00
0.1500+02 0.7595-02 0.1298-01 0.5852+00 0.2649+04 0.4975+00
0.1600+02 0.6678-02 0.1142-01 0.5850+00 0.3625+04 0.4966+00
0.1700+02 0.5917-02 0.1012-01 0.5848+00 0.4873+04 0.4958+00
0.1800+02 0.5279-02 0.9030-02 0.5846+00 0.6445+04 0.4952+00
