0.1900+02 0.4739-02 0.8109-02 0.5845+00 0.8402+04 0.4946+00
0.2000+02 0.4278-02 0.7321-02 0.5844+00 0.1081+05 0.4942+00
0.2200+02 0.3537-02 0.6054-02 0.5842+00 0.1728+05 0.4934+00
0.2400+02 0.2973-02 0.5089-02 0.5841+00 0.2656+05 0.4928+00
0.2600+02 0.2533-02 0.4338-02 0.5839+00 0.3946+05 0.4924+00
0.2800+02 0.2185-02 0.3742-02 0.5839+00 0.5697+05 0.4920+00
0.3000+02 0.1903-02 0.3260-02 0.5838+00 0.8021+05 0.4917+00
0.3200+02 0.1673-02 0.2866-02 0.5837+00 0.1105+06 0.4915+00
0.3400+02 0.1482-02 0.2539-02 0.5837+00 0.1494+06 0.4913+00
0.3600+02 0.1322-02 0.2265-02 0.5837+00 0.1985+06 0.4911+00
0.3800+02 0.1187-02 0.2033-02 0.5836+00 0.2597+06 0.4910+00
0.4000+02 0.1071-02 0.1835-02 0.5836+00 0.3353+06 0.4909+00
0.4200+02 0.9714-03 0.1665-02 0.5836+00 0.4275+06 0.4908+00
0.4400+02 0.8852-03 0.1517-02 0.5835+00 0.5390+06 0.4907+00
0.4600+02 0.8099-03 0.1388-02 0.5835+00 0.6726+06 0.4906+00
0.4800+02 0.7438-03 0.1275-02 0.5835+00 0.8316+06 0.4906+00
0.5000+02 0.6855-03 0.1175-02 0.5835+00 0.1019+07 0.4905+00
