0.2000+01 0.4500+01 0.2667+01 0.1687+01 0.7209+00 0.5640+01 0.5774+00
0.2050+01 0.4736+01 0.2740+01 0.1729+01 0.6975+00 0.5900+01 0.5691+00
0.2100+01 0.4978+01 0.2812+01 0.1770+01 0.6742+00 0.6165+01 0.5613+00
0.2150+01 0.5226+01 0.2882+01 0.1813+01 0.6511+00 0.6438+01 0.5540+00
0.2200+01 0.5480+01 0.2951+01 0.1857+01 0.6281+00 0.6716+01 0.5471+00
0.2250+01 0.5740+01 0.3019+01 0.1901+01 0.6055+00 0.7002+01 0.5406+00
0.2300+01 0.6005+01 0.3085+01 0.1947+01 0.5833+00 0.7294+01 0.5344+00
0.2350+01 0.6276+01 0.3149+01 0.1993+01 0.5615+00 0.7592+01 0.5286+00
0.2400+01 0.6553+01 0.3212+01 0.2040+01 0.5401+00 0.7897+01 0.5231+00
0.2450+01 0.6836+01 0.3273+01 0.2088+01 0.5193+00 0.8208+01 0.5179+00
0.2500+01 0.7125+01 0.3333+01 0.2137+01 0.4990+00 0.8526+01 0.5130+00
0.2550+01 0.7420+01 0.3392+01 0.2187+01 0.4793+00 0.8850+01 0.5083+00
0.2600+01 0.7720+01 0.3449+01 0.2238+01 0.4601+00 0.9181+01 0.5039+00
0.2650+01 0.8026+01 0.3505+01 0.2290+01 0.4416+00 0.9519+01 0.4996+00
0.2700+01 0.8338+01 0.3559+01 0.2343+01 0.4236+00 0.9862+01 0.4956+00
0.2750+01 0.8656+01 0.3612+01 0.2397+01 0.4062+00 0.1021+02 0.4918+00
0.2800+01 0.8980+01 0.3664+01 0.2451+01 0.3895+00 0.1057+02 0.4882+00
0.2850+01 0.9310+01 0.3714+01 0.2507+01 0.3733+00 0.1093+02 0.4847+00
0.2900+01 0.9645+01 0.3763+01 0.2563+01 0.3577+00 0.1130+02 0.4814+00
0.2950+01 0.9986+01 0.3811+01 0.2621+01 0.3428+00 0.1168+02 0.4782+00
0.3000+01 0.1033+02 0.3857+01 0.2679+01 0.3283+00 0.1206+02 0.4752+00
0.3050+01 0.1069+02 0.3902+01 0.2738+01 0.3145+00 0.1245+02 0.4723+00
0.3100+01 0.1104+02 0.3947+01 0.2799+01 0.3012+00 0.1285+02 0.4695+00
0.3150+01 0.1141+02 0.3990+01 0.2860+01 0.2885+00 0.1325+02 0.4669+00
0.3200+01 0.1178+02 0.4031+01 0.2922+01 0.2762+00 0.1366+02 0.4643+00
0.3250+01 0.1216+02 0.4072+01 0.2985+01 0.2645+00 0.1407+02 0.4619+00
0.3300+01 0.1254+02 0.4112+01 0.3049+01 0.2533+00 0.1449+02 0.4596+00
0.3350+01 0.1293+02 0.4151+01 0.3114+01 0.2425+00 0.1492+02 0.4573+00
0.3400+01 0.1332+02 0.4188+01 0.3180+01 0.2322+00 0.1535+02 0.4552+00
0.3450+01 0.1372+02 0.4225+01 0.3247+01 0.2224+00 0.1579+02 0.4531+00
0.3500+01 0.1412+02 0.4261+01 0.3315+01 0.2129+00 0.1624+02 0.4512+00
0.3550+01 0.1454+02 0.4296+01 0.3384+01 0.2039+00 0.1670+02 0.4492+00
0.3600+01 0.1495+02 0.4330+01 0.3454+01 0.1953+00 0.1716+02 0.4474+00
0.3650+01 0.1538+02 0.4363+01 0.3525+01 0.1871+00 0.1762+02 0.4456+00
0.3700+01 0.1580+02 0.4395+01 0.3596+01 0.1792+00 0.1810+02 0.4439+00
0.3750+01 0.1624+02 0.4426+01 0.3669+01 0.1717+00 0.1857+02 0.4423+00
0.3800+01 0.1668+02 0.4457+01 0.3743+01 0.1645+00 0.1906+02 0.4407+00
0.3850+01 0.1713+02 0.4487+01 0.3817+01 0.1576+00 0.1955+02 0.4392+00
0.3900+01 0.1758+02 0.4516+01 0.3893+01 0.1510+00 0.2005+02 0.4377+00
0.3950+01 0.1804+02 0.4544+01 0.3969+01 0.1448+00 0.2056+02 0.4363+00
0.4000+01 0.1850+02 0.4571+01 0.4047+01 0.1388+00 0.2107+02 0.4350+00
0.4050+01 0.1897+02 0.4598+01 0.4125+01 0.1330+00 0.2159+02 0.4336+00
0.4100+01 0.1944+02 0.4624+01 0.4205+01 0.1276+00 0.2211+02 0.4324+00
0.4150+01 0.1993+02 0.4650+01 0.4285+01 0.1223+00 0.2264+02 0.4311+00
0.4200+01 0.2041+02 0.4675+01 0.4367+01 0.1173+00 0.2318+02 0.4299+00
0.4250+01 0.2091+02 0.4699+01 0.4449+01 0.1126+00 0.2372+02 0.4288+00
0.4300+01 0.2140+02 0.4723+01 0.4532+01 0.1080+00 0.2427+02 0.4277+00
0.4350+01 0.2191+02 0.4746+01 0.4616+01 0.1036+00 0.2483+02 0.4266+00
0.4400+01 0.2242+02 0.4768+01 0.4702+01 0.9948-01 0.2539+02 0.4255+00
0.4450+01 0.2294+02 0.4790+01 0.4788+01 0.9550-01 0.2596+02 0.4245+00
