0.4500+01 0.2346+02 0.4812+01 0.4875+01 0.9170-01 0.2654+02 0.4236+00
0.4550+01 0.2399+02 0.4833+01 0.4963+01 0.8806-01 0.2712+02 0.4226+00
0.4600+01 0.2452+02 0.4853+01 0.5052+01 0.8459-01 0.2771+02 0.4217+00
0.4650+01 0.2506+02 0.4873+01 0.5142+01 0.8126-01 0.2831+02 0.4208+00
0.4700+01 0.2560+02 0.4893+01 0.5233+01 0.7809-01 0.2891+02 0.4199+00
0.4750+01 0.2616+02 0.4912+01 0.5325+01 0.7505-01 0.2952+02 0.4191+00
0.4800+01 0.2671+02 0.4930+01 0.5418+01 0.7214-01 0.3013+02 0.4183+00
0.4850+01 0.2728+02 0.4948+01 0.5512+01 0.6936-01 0.3075+02 0.4175+00
0.4900+01 0.2784+02 0.4966+01 0.5607+01 0.6670-01 0.3138+02 0.4167+00
0.4950+01 0.2842+02 0.4983+01 0.5703+01 0.6415-01 0.3201+02 0.4160+00
0.5000+01 0.2900+02 0.5000+01 0.5800+01 0.6172-01 0.3265+02 0.4152+00
0.5100+01 0.3018+02 0.5033+01 0.5997+01 0.5715-01 0.3395+02 0.4138+00
0.5200+01 0.3138+02 0.5064+01 0.6197+01 0.5297-01 0.3528+02 0.4125+00
0.5300+01 0.3260+02 0.5093+01 0.6401+01 0.4913-01 0.3663+02 0.4113+00
0.5400+01 0.3385+02 0.5122+01 0.6610+01 0.4560-01 0.3801+02 0.4101+00
0.5500+01 0.3512+02 0.5149+01 0.6822+01 0.4236-01 0.3941+02 0.4090+00
0.5600+01 0.3642+02 0.5175+01 0.7038+01 0.3938-01 0.4084+02 0.4079+00
0.5700+01 0.3774+02 0.5200+01 0.7258+01 0.3664-01 0.4230+02 0.4069+00
0.5800+01 0.3908+02 0.5224+01 0.7481+01 0.3412-01 0.4378+02 0.4059+00
0.5900+01 0.4044+02 0.5246+01 0.7709+01 0.3180-01 0.4528+02 0.4050+00
0.6000+01 0.4183+02 0.5268+01 0.7941+01 0.2965-01 0.4682+02 0.4042+00
0.6100+01 0.4324+02 0.5289+01 0.8176+01 0.2767-01 0.4837+02 0.4033+00
0.6200+01 0.4468+02 0.5309+01 0.8415+01 0.2584-01 0.4996+02 0.4025+00
0.6300+01 0.4614+02 0.5329+01 0.8658+01 0.2416-01 0.5157+02 0.4018+00
0.6400+01 0.4762+02 0.5347+01 0.8905+01 0.2259-01 0.5320+02 0.4011+00
0.6500+01 0.4912+02 0.5365+01 0.9156+01 0.2115-01 0.5486+02 0.4004+00
0.6600+01 0.5065+02 0.5382+01 0.9411+01 0.1981-01 0.5655+02 0.3997+00
0.6700+01 0.5220+02 0.5399+01 0.9670+01 0.1857-01 0.5826+02 0.3991+00
0.6800+01 0.5378+02 0.5415+01 0.9933+01 0.1741-01 0.6000+02 0.3985+00
0.6900+01 0.5538+02 0.5430+01 0.1020+02 0.1635-01 0.6176+02 0.3979+00
0.7000+01 0.5700+02 0.5444+01 0.1047+02 0.1535-01 0.6355+02 0.3974+00
0.7100+01 0.5864+02 0.5459+01 0.1074+02 0.1443-01 0.6537+02 0.3968+00
0.7200+01 0.6031+02 0.5472+01 0.1102+02 0.1357-01 0.6721+02 0.3963+00
0.7300+01 0.6200+02 0.5485+01 0.1130+02 0.1277-01 0.6908+02 0.3958+00
0.7400+01 0.6372+02 0.5498+01 0.1159+02 0.1202-01 0.7097+02 0.3954+00
0.7500+01 0.6546+02 0.5510+01 0.1188+02 0.1133-01 0.7289+02 0.3949+00
0.7600+01 0.6722+02 0.5522+01 0.1217+02 0.1068-01 0.7483+02 0.3945+00
0.7700+01 0.6900+02 0.5533+01 0.1247+02 0.1008-01 0.7680+02 0.3941+00
0.7800+01 0.7081+02 0.5544+01 0.1277+02 0.9510-02 0.7880+02 0.3937+00
0.7900+01 0.7264+02 0.5555+01 0.1308+02 0.8982-02 0.8082+02 0.3933+00
0.8000+01 0.7450+02 0.5565+01 0.1339+02 0.8488-02 0.8287+02 0.3929+00
0.9000+01 0.9433+02 0.5651+01 0.1669+02 0.4964-02 0.1048+03 0.3898+00
0.1000+02 0.1165+03 0.5714+01 0.2039+02 0.3045-02 0.1292+03 0.3876+00
0.1100+02 0.1410+03 0.5762+01 0.2447+02 0.1945-02 0.1563+03 0.3859+00
0.1200+02 0.1678+03 0.5799+01 0.2894+02 0.1287-02 0.1859+03 0.3847+00
0.1300+02 0.1970+03 0.5828+01 0.3380+02 0.8771-03 0.2181+03 0.3837+00
0.1400+02 0.2285+03 0.5851+01 0.3905+02 0.6138-03 0.2528+03 0.3829+00
0.1500+02 0.2623+03 0.5870+01 0.4469+02 0.4395-03 0.2902+03 0.3823+00
0.1600+02 0.2985+03 0.5885+01 0.5072+02 0.3212-03 0.3301+03 0.3817+00
0.1700+02 0.3370+03 0.5898+01 0.5714+02 0.2390-03 0.3726+03 0.3813+00
